start;end;description
716;717;HONG KONG
716;717;Riau Islander
716;716;Hong Kong Chinese
716;716;Eastern Archipelago
718;719;MACAO
720;729;FILIPINO
720;729;Tagalog
720;720;Cebuanos
720;720;Philippines
730;739;INDONESIAN
730;731;Sulawesi Islander
730;730;INDONESIAN
730;730;Ascension Islander
730;730;Bangka
730;730;Billiton
730;730;Celebes Islander
730;730;Dutch East Indian
730;730;Indonesia
730;730;Molucca Islander
730;730;Portuguese Timor
730;730;Spice Islander
732;733;BORNEO
734;735;JAVA
736;739;SUMATRA
740;745;JAPANESE
740;740;JAPANESE
740;740;Japan
740;740;Nipponese
741;741;ISSEI
742;742;NISEI
743;743;SANSEI
744;744;YONSEI
745;745;GONSEI
746;747;RYUKYU ISLANDER
746;747;Northern Ryukyu Islander
748;749;OKINAWAN
748;749;Okinawa
750;764;KOREAN
750;764;Korea
750;750;Chosen
765;767;LAOTIAN
765;765;LAOTIAN
765;765;Lao
765;765;Laos
766;767;MEO
768;769;HMONG
768;769;Mong
768;768;Hmongtana
768;768;Laohmong
770;770;MALAYSIAN
770;770;Malaysia
770;770;Sakai
770;770;Semang
770;770;Senoi
771;773;NORTH BORNEO
771;773;Sarawak
771;771;Brunei
771;771;Sabah
774;775;SINGAPOREAN
774;775;Singapore
776;781;THAI
776;776;THAI
776;776;Siam
776;776;Thailand
777;777;BLACK THAI
777;777;Thai Dam
778;781;WESTERN LAO
782;782;TAIWANESE
782;782;Taiwan
783;784;FORMOSAN
783;784;Formosa
785;789;VIETNAMESE
785;785;VIETNAMESE
785;785;Anam
785;785;Vietnam
786;786;KATU
787;787;MA
788;789;MNONG
790;791;MONTAGNARD
790;791;Cham
792;792;INDO CHINESE
792;792;Indochina
793;793;EURASIAN
793;793;Indoeuropean
794;794;AMERASIAN
795;799;ASIAN
795;799;Orient
795;795;Asia
800;899;PACIFIC
800;802;AUSTRALIAN
800;800;AUSTRALIAN
800;800;Australia
800;800;New South Wales
800;800;Northern Territory
800;800;Queensland
800;800;Victoria
801;801;TASMANIAN
802;802;AUSTRALIAN ABORIGINE
803;807;NEW ZEALANDER
803;807;New Zealand
808;810;POLYNESIAN
808;808;POLYNESIAN
808;808;Norfolk Islander
809;809;KAPINGAMARANGAN
809;809;Nukuoroan
810;810;MAORI
811;813;HAWAIIAN
811;812;Native Hawaiian
811;811;HAWAIIAN
811;811;Mixed Hawaiian
813;813;PART HAWAIIAN
814;814;SAMOAN
814;814;Samoa
815;815;TONGAN
815;815;Tonga
816;816;TOKELAUAN
816;816;Tokelau Islander
817;817;COOK ISLANDER
818;818;TAHITIAN
818;818;French Polynesia
818;818;Society Islander
819;819;NIUEAN
820;820;MICRONESIAN
820;820;Micronesia Islander
820;820;U.S. Trust Territory of the Pacific
821;822;GUAMANIAN
821;821;GUAMANIAN
821;821;Guam
822;822;CHAMORRO ISLANDER
823;823;SAIPANESE
823;823;Northern Marianas Islander
823;823;Saipan Islander
824;824;PALAUAN
825;825;MARSHALLESE
825;825;Marshall Islander
826;826;KOSRAEAN
827;827;PONAPEAN (POHNPEIAN)
827;827;Mokilese
827;827;Ngatikese
827;827;Pingelapese
828;828;TRUKESE (CHUUKESE)
828;828;Hall Islander
828;828;Mortlockese
828;828;Namanouito
828;828;Pulapese
828;828;Pulasukese
828;828;Pulawatese
828;828;Tamatamian
828;828;Ulul
829;829;YAPESE
830;830;CAROLINIAN
830;830;Eauripikese
830;830;Faisian
830;830;Ifalukese
830;830;Lamotrekese
830;830;Satawalese
830;830;Ulithian
830;830;Woleaian
831;831;KIRIBATESE
831;831;Gilbertese
832;833;NAURUAN
832;832;NAURUAN
833;833;TARAWA ISLANDER
834;839;TINIAN
840;840;MELANESIAN
841;842;FIJIAN
841;842;Fiji
843;844;NEW GUINEAN
843;843;NEW GUINEAN
844;844;PAPUAN
845;845;SOLOMON ISLANDER
845;845;British Solomons
846;846;NEW CALEDONIAN
847;849;VANUATUAN
847;849;Ni Vanuatu
847;847;New Hebrides Islander
850;859;PACIFIC ISLANDER
850;859;Wake Islander
850;850;Campbell Islander
850;850;Christmas Islander
850;850;Kermadec Islander
850;850;Midway Islander
850;850;Phoenix Islander
860;860;PACIFIC
860;860;Oceania
861;861;PART-SAMOAN
861;861;See SAMOAN (code 814)
862;862;CHAMOLINIAN
863;899;RESERVE CODE
